35,Breakfast Items,kellogs chocos,cup,115,2.4,0.8,24,150,10.5,12.9,2.4,0,240,0,0,0.6,0,0,0,0,0,0,0,1.4
36,Breakfast Items,macroni,cup,174,7.5,0.8,37.2,21,4.2,61.6,0,63,0,0,1.13,1.48,124.6,42,1.93,151,0.23,1,0,3.9
37,Breakfast Items,museli dry fruits,cup,289,8.2,4.2,66.1,0,196.4,413.1,0,876,0,190.4,3.1,7.44,206.6,66.3,1.85,774,0.33,10.3,0,6.2
38,Breakfast Items,oats dry,cup,607,26.3,10.8,103.4,84.2,3.1,669.2,0,217,0,0,6.19,7.36,815.9,276.1,7.67,1190,0.98,1.5,0,16.5
39,Breakfast Items,boiled egg,no.,70,6.1,1.5,8.1,25,68.2,7,16.5,82,317.35,11.9,0.18,2.17,84.5,5.8,0.03,44,0.06,0.1,0,0
40,Breakfast Items,bombay khari,no.,41,0.6,1.8,7,0,8.5,0,0.2,2,4.8,0.1,0.03,0.05,0,0,0,2,0.03,0,1.6,0.1
41,Breakfast Items,brown bread sandwitch,no.,93,4.3,1.3,16.1,69.6,246,40.7,16,30,455.62,6.1,0.2,4.3,166.3,91.6,0.14,30,0.24,0.2,0.2,3.1
42,Breakfast Items,bun,no.,310,9.3,6.9,52.6,9.9,225,0,4.6,11,159.3,1.8,0.58,2.88,0,0,0,21,0.05,0.6,8.1,1.7
43,Breakfast Items,burger king (Hamburger),no.,333,17.2,14.7,32.8,61.7,550.5,220.2,0.2,275,0,44.8,2.6,3.05,144,29,0.34,404,0.11,4.8,0,2.4
44,Breakfast Items,chicken burger,no.,46,1,1.7,6.6,10.3,131.2,9.7,0.4,8,43.52,2.9,0.13,0.18,46.8,1.7,0.07,17,0.04,0,4.1,1
45,Breakfast Items,cream biscuit,no.,35,0.5,0.7,7,0,0,0,0,0,12.8,0.7,0.03,0.06,0,0,0,2,0,0,1.4,0.1
46,Breakfast Items,mc cheese burger,no.,313,15.4,14,33.1,198.7,744.9,238,0.7,309,0,0,2.27,2.8,166.6,23.8,0.27,265,0.12,4.8,0.4,1.3
47,Breakfast Items,mc hamburger,no.,265,13,9.8,32.2,127,532.3,213.1,0.6,251,0,0,1.96,2.77,112.3,21,0.27,259,0.11,4.8,0,1.4
48,Breakfast Items,nachani biscuit,no.,37,0.7,2,4,11.1,1,11.6,0,9,75.95,1.6,0.11,0.21,16,6.2,0.14,19,0.03,0.1,4.9,0.5
49,Breakfast Items,salty biscuit,no.,20,0.4,0.8,2.7,0,0,0,0.1,1,2.4,0,0.01,0.02,0,0,0,1,0.01,0,0.8,0
50,Breakfast Items,sandwitch white bread,no.,119,1.6,1.4,24.9,5.1,228.2,0,1.4,11,88,17.2,0.18,0.28,0,0,0,44,0.08,0.3,7.2,0.6
51,Breakfast Items,sweet biscuit marie,no.,18,0.3,0.6,2.8,0,16.8,0,0,1,2.24,0,0.01,0.03,0,0,0,2,0.01,0,0.5,0
52,Breakfast Items,sweet biscuit parle G,no.,24,0.4,0.9,3.7,0,21.5,0,0,2,2.8,0.1,0.02,0.03,0,0,0,2,0.02,0,0.7,0
53,Breakfast Items,toast dry,no.,48,0.1,0.1,11.6,0,28.8,0,0,1,0,0.1,0.06,0.08,0,0,0,4,0.04,0,1.6,0.2
54,Breakfast Items,egg omlete,no. of eggs,110,3.8,2.4,18.4,38.5,128.8,10.7,3.7,208,512,27.4,0.39,0.78,129.9,9,0.05,88,0.17,0.1,1.9,0.5
55,Breakfast Items,brun,piece,264,7,1.9,54.6,11.6,160,0,0.5,30,84.96,1,0.38,0.59,0,0,0,49,0.34,0.7,8.7,1.2
56,Breakfast Items,bread,slice,55,1.5,0.4,11.3,2.4,104.2,0,0.1,6,17.6,0.2,0.08,0.12,0,0,0,10,0.07,0.2,1.8,0.2
57,Breakfast Items,brown bread butter,slice,74,1.1,0.8,15.8,4.2,130.2,0,0.1,22,26,5.2,0.22,0.8,0,0,0,30,0.12,0.6,3.2,0.5
58,Breakfast Items,multi grain bread,slice,69,3.5,1.1,11,26.8,108.9,59.8,0,0,0,19.5,0.4,0.7,59.3,20.3,0.5,100,0.1,1.1,0,1.9
59,Breakfast Items,white bread butter,slice,64,0.7,0.5,12.3,2.2,114.6,0,0.1,15,21.12,4.4,0.18,0.68,0,0,0,22,0.07,0.1,2.6,0.8
60,Breakfast Items,egg bhurji,small bowl,283,19.1,6.5,37.1,98.9,308,27.5,2.5,234,644.6,59.7,1.12,2.39,334,23.1,0.13,62,0.24,0.3,0.2,1.3
61,Breakfast Items,bournvita powder,teaspoon,20,0.5,0,4.5,0,35,0,0.1,0,0.05,0.1,0.03,0.05,0,0,0,0,0,0,0,0
62,Breakfast Items,cocoa powder,teaspoon,39,2,1.1,0.6,12.8,2,152.4,0,23,0,3.2,0.69,1.38,73.4,49.9,0.38,12,0.38,0.2,0,3.2
63,Breakfast Items,complan powder,teaspoon,43,1.6,6,1.5,26,0,0,5.3,14,35,0.2,0.24,0.35,48,7.9,0,12,0,1.6,0,0
64,cereals,curd rice,bowl,191,5.5,7.6,25.2,217.7,339.5,162.6,12.7,175,908.55,7.8,0.45,2.06,141.7,41,0.25,105,0.09,1,26.8,1.2
65,cereals,eggs rice,bowl,234,8.2,4.6,40.4,33.7,594,8.2,1.6,87,225.06,21.9,0.5,1.07,165,43.2,0.28,58,0.1,0.9,10.6,1.8
66,cereals,khichdi w/o oil,bowl,84,3.1,0.3,17.2,15.9,335.5,97.6,0,33,7.92,12.2,0.46,0.51,60.7,27.3,0.18,55,0.06,0.5,10.5,1.4
67,cereals,lemon rice,bowl,245,5.3,12,28.8,66.7,481.2,85.6,8.1,35,313.9,13.6,0.86,2.85,95.3,32.9,0.56,122,0.17,2.3,30.9,2
68,cereals,mung khichdi,bowl,142,5.2,1.1,27.8,17.1,626.5,124.3,3.9,23,112,5.2,0.79,1.03,91.2,41.1,0.3,61,0.35,0.8,11.8,1.7
69,cereals,phodni bhat,bowl,182,7,3.4,30.9,13.1,432,16.5,1.6,46,115.2,11.2,0.5,0.61,80,44.2,0.32,38,0.21,1.3,6.1,1.4
70,cereals,pulao,bowl,291,5.6,7.8,49.3,44.8,603.5,47,3.1,94,95.2,1.7,0.32,0.65,177.8,65,0.43,306,0.22,1.3,12.6,4.4
71,cereals,rice plain,bowl,178,3.1,0.3,40.8,5.2,0,0,1.1,22,40.8,5.1,0.2,0.46,83,46.7,0.31,51,0.03,1,13.5,1.8
72,cereals,sprouted masur mung pulav,bowl,415,10.5,15.3,59,93.5,595,197.6,4.8,153,578,22.4,2.21,4.08,208.2,127.1,1.75,187,0.63,2,69.2,5.2
